Continent,ContinentCode,Country,CountryCode,Discipline,MedalCount,Year
Africa,AF,Cameroon,CMR,Athletics,1,2008
Africa,AF,Algeria,DZA,Judo,2,2008
Africa,AF,"Egypt, Arab Rep.",EGY,Judo,1,2008
Africa,AF,Ethiopia,ETH,Athletics,7,2008
Africa,AF,Kenya,KEN,Athletics,15,2008
Africa,AF,Morocco,MAR,Athletics,2,2008
Africa,AF,Mauritius,MUS,Boxing,1,2008
Africa,AF,Nigeria,NGA,Athletics,2,2008
Africa,AF,Nigeria,NGA,Football,1,2008
Africa,AF,Nigeria,NGA,Taekwondo,1,2008
Africa,AF,Sudan,SDN,Athletics,2,2008
Africa,AF,Togo,TGO,Canoeing,1,2008
Africa,AF,Tunisia,TUN,Swimming,1,2008
Africa,AF,South Africa,ZAF,Athletics,1,2008
Africa,AF,Zimbabwe,ZWE,Swimming,4,2008
Asia,AS,Armenia,ARM,Boxing,1,2008
Asia,AS,Armenia,ARM,Weightlifting,3,2008
Asia,AS,Armenia,ARM,Wrestling,2,2008
Asia,AS,Azerbaijan,AZE,Boxing,1,2008
Asia,AS,Azerbaijan,AZE,Judo,2,2008
Asia,AS,Azerbaijan,AZE,Wrestling,4,2008
Asia,AS,China,CHN,Archery,3,2008
Asia,AS,China,CHN,Athletics,2,2008
Asia,AS,China,CHN,Badminton,8,2008
Asia,AS,China,CHN,Boxing,4,2008
Asia,AS,China,CHN,Canoeing,1,2008
Asia,AS,China,CHN,Cycling,1,2008
Asia,AS,China,CHN,Diving,11,2008
Asia,AS,China,CHN,Fencing,2,2008
Asia,AS,China,CHN,Field Hockey,1,2008
Asia,AS,China,CHN,Gymnastics,18,2008
Asia,AS,China,CHN,Judo,4,2008
Asia,AS,China,CHN,Rowing,2,2008
Asia,AS,China,CHN,Sailing,2,2008
Asia,AS,China,CHN,Shooting,9,2008
Asia,AS,China,CHN,Swimming,6,2008
Asia,AS,China,CHN,Synchronized swimming,1,2008
Asia,AS,China,CHN,Table Tennis,8,2008
Asia,AS,China,CHN,Taekwondo,4,2008
Asia,AS,China,CHN,Tennis,1,2008
Asia,AS,China,CHN,Volleyball,3,2008
Asia,AS,China,CHN,Weightlifting,11,2008
Asia,AS,China,CHN,Wrestling,3,2008
Asia,AS,Georgia,GEO,Judo,1,2008
Asia,AS,Georgia,GEO,Shooting,1,2008
Asia,AS,Georgia,GEO,Wrestling,4,2008
Asia,AS,Indonesia,IDN,Badminton,3,2008
Asia,AS,Indonesia,IDN,Weightlifting,2,2008
Asia,AS,India,IND,Boxing,1,2008
Asia,AS,India,IND,Shooting,1,2008
Asia,AS,India,IND,Wrestling,1,2008
Asia,AS,Japan,JPN,Athletics,1,2008
Asia,AS,Japan,JPN,Cycling,1,2008
Asia,AS,Japan,JPN,Fencing,1,2008
Asia,AS,Japan,JPN,Gymnastics,2,2008
Asia,AS,Japan,JPN,Judo,7,2008
Asia,AS,Japan,JPN,Swimming,5,2008
Asia,AS,Japan,JPN,Synchronized swimming,1,2008
Asia,AS,Japan,JPN,Wrestling,6,2008
Asia,AS,Kazakhstan,KAZ,Boxing,3,2008
Asia,AS,Kazakhstan,KAZ,Judo,1,2008
Asia,AS,Kazakhstan,KAZ,Taekwondo,1,2008
Asia,AS,Kazakhstan,KAZ,Weightlifting,4,2008
Asia,AS,Kazakhstan,KAZ,Wrestling,5,2008
Asia,AS,"Korea, Rep.",KOR,Archery,5,2008
Asia,AS,"Korea, Rep.",KOR,Badminton,3,2008
Asia,AS,"Korea, Rep.",KOR,Boxing,1,2008
Asia,AS,"Korea, Rep.",KOR,Fencing,1,2008
Asia,AS,"Korea, Rep.",KOR,Gymnastics,1,2008
Asia,AS,"Korea, Rep.",KOR,Handball,1,2008
Asia,AS,"Korea, Rep.",KOR,Judo,4,2008
Asia,AS,"Korea, Rep.",KOR,Shooting,2,2008
Asia,AS,"Korea, Rep.",KOR,Swimming,2,2008
Asia,AS,"Korea, Rep.",KOR,Table Tennis,2,2008
Asia,AS,"Korea, Rep.",KOR,Taekwondo,4,2008
Asia,AS,"Korea, Rep.",KOR,Weightlifting,3,2008
Asia,AS,"Korea, Rep.",KOR,Wrestling,1,2008
Asia,AS,Mongolia,MNG,Boxing,2,2008
Asia,AS,Mongolia,MNG,Judo,1,2008
Asia,AS,Mongolia,MNG,Shooting,1,2008
Asia,AS,Malaysia,MYS,Badminton,1,2008
Asia,AS,"Korea, Dem. Rep.",PRK,Gymnastics,1,2008
Asia,AS,"Korea, Dem. Rep.",PRK,Judo,3,2008
Asia,AS,"Korea, Dem. Rep.",PRK,Weightlifting,2,2008
Asia,AS,Russian Federation,RUS,Archery,1,2008
Asia,AS,Russian Federation,RUS,Athletics,18,2008
Asia,AS,Russian Federation,RUS,Basketball,1,2008
Asia,AS,Russian Federation,RUS,Boxing,3,2008
Asia,AS,Russian Federation,RUS,Canoeing,3,2008
Asia,AS,Russian Federation,RUS,Cycling,3,2008
Asia,AS,Russian Federation,RUS,Diving,5,2008
