origin,destination,count
ABE,ATL,13
ABE,CLE,1
ABE,CLT,2
ABE,DTW,6
ABE,IAD,2
ABE,ORD,8
ABE,PHL,3
ABI,DFW,314
ABQ,ALM,4
ABQ,ATL,77
ABQ,AUS,3
ABQ,BOS,2
ABQ,BWI,32
ABQ,CNM,2
ABQ,CVN,10
ABQ,DAL,22
ABQ,DCA,5
ABQ,DEN,65
ABQ,DFW,315
ABQ,ELP,22
ABQ,FAT,1
ABQ,HOB,2
ABQ,HOU,1
ABQ,IAD,23
ABQ,IAH,9
ABQ,LAS,25
ABQ,LAX,34
ABQ,LBB,2
ABQ,MCI,2
ABQ,MDW,4
ABQ,MSP,1
ABQ,OAK,14
ABQ,ORD,26
ABQ,PDX,2
ABQ,PHX,40
ABQ,RIC,3
ABQ,SAN,45
ABQ,SAT,6
ABQ,SEA,32
ABQ,SFO,6
ABQ,SLC,23
ABQ,SMF,2
ABQ,SNA,1
ABQ,STL,1
ABQ,TUS,30
ABR,MSP,1
ABY,ATL,131
ACK,EWB,1
ACT,DFW,30
ACT,IAH,4
ACV,SFO,1
ACY,ATL,7
ACY,TPA,1
ADK,ANC,2
ADQ,ANC,22
AEX,ATL,188
AEX,DFW,138
AEX,IAH,32
AGS,ATL,261
AGS,CLT,112
AGS,DFW,69
AHN,ATL,1
AKN,ANC,3
AKN,KCL,1
ALB,ART,31
ALB,ATL,74
ALB,BOS,1
ALB,BWI,72
ALB,CLE,10
ALB,CLT,48
ALB,DCA,17
ALB,DTW,33
ALB,EWR,9
ALB,FLL,2
ALB,IAD,98
ALB,LAS,10
ALB,LGA,1
ALB,MCO,1
ALB,MDW,3
ALB,MSP,3
ALB,MSS,1
ALB,OGS,1
ALB,ORD,85
ALB,ORF,3
ALB,PHL,14
ALB,SAN,2
ALB,SEA,3
ALM,ABQ,1
ALO,MSP,7
ALS,DEN,3
ALW,SEA,8
AMA,DAL,22
AMA,DEN,3
AMA,DFW,36
AMA,IAH,3
AMA,LAS,10
ANC,ADK,2
ANC,ADQ,21
ANC,AKN,3
ANC,ATL,1
ANC,BET,4
ANC,CDV,1
ANC,DEN,2
ANC,DFW,18
ANC,EWR,2
ANC,FAI,94
ANC,HNL,20
ANC,HOM,2
ANC,IAH,7
ANC,JNU,4
ANC,KTN,1
ANC,LAX,4
ANC,MSP,78
ANC,OME,3
ANC,ORD,7
ANC,OTZ,5
ANC,PDX,3
ANC,PHX,8
ANC,SEA,185
ANC,SLC,20
ANC,YAK,1
AOO,IAD,1
AOO,JST,2
APN,DTW,11
ART,ALB,14
ART,ORD,1
ASE,DEN,2
ATL,ABE,18
ATL,ABQ,79
ATL,ABY,123
ATL,ACY,6
ATL,AEX,187
ATL,AGS,293
ATL,AHN,4
ATL,ALB,39
ATL,ATW,12
ATL,AUS,59
